Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
195000,skoda octavia,2020,Automatique,Diesel,115000.0,Skoda,Octavia,5,WW au Maroc,Non,8 CV,Bon,Aucun
108000,kia soul bon état,2016,Manuelle,Diesel,225000.0,Kia,Soul,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, Caméra de recul, Climatisation, Jantes aluminium, Radar de recul, Vitres électriques"
190000,Volkswagen Jetta Diesel Automatique 2020,2020,Automatique,Diesel,175000.0,Volkswagen,Jetta,5,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
639000,Porsche Panamera 4S V8 DIESEL,2018,Automatique,Diesel,77500.0,Porsche,Panamera,5,WW au Maroc,Oui,17 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
65000,Renault Kangoo,2010,Manuelle,Diesel,195000.0,Renault,Kangoo,5,Dédouanée,Non,7 CV,Bon,Aucun
31000,كيا ايسانس,2000,Manuelle,Essence,225000.0,Kia,Rio,5,Dédouanée,Non,9 CV,Neuf,Aucun
185000,peugeot 208 model 2024 première main. état neuve,2024,Manuelle,Diesel,2500.0,Peugeot,208,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Vitres électriques"
215000,Alfa Roméo stelvio sport 2019,2019,Automatique,Diesel,185000.0,Alfa Romeo,Stelvio,5,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
225000,tres Belle i30,2022,Automatique,Diesel,2500.0,Hyundai,i30,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
95000,peaugout 301,2016,Manuelle,Diesel,135000.0,Peugeot,301,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Limiteur de vitesse, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
20000,Fiat Uno Essence Manuelle 2000 à Mohammedia,2000,Manuelle,Essence,475000.0,Fiat,Uno,5,WW au Maroc,Non,6 CV,Très bon,Aucun
465000,cla 220 Amg line,2021,Automatique,Diesel,105000.0,Mercedes-Benz,Classe CLA,5,Dédouanée,Oui,8 CV,Excellent,"ABS, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
395000,Jeep Grand Cherokee Diesel Automatique 2019,2019,Automatique,Diesel,82500.0,Jeep,Grand Cherokee,5,WW au Maroc,Oui,12 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
285000,Grandland X2024 automatique,2024,Automatique,Diesel,12500.0,Opel,Grandland,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
500000,Audi Q5 premier main dédouané 2023,2019,Automatique,Diesel,165000.0,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
98000,audi q7 7places,2007,Automatique,Diesel,225000.0,Audi,Q7,5,WW au Maroc,Non,12 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
186000,Citroen berlingo,2022,Manuelle,Diesel,62500.0,Citroen,Berlingo,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
375000,Mercedes cla dédouanement,2020,Automatique,Diesel,62500.0,Mercedes-Benz,Classe CLA,5,Dédouanée,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
65000,Ford Focus Ria toutes options,2000,Manuelle,Diesel,425000.0,Ford,Focus,5,Dédouanée,Non,6 CV,Très bon,"Airbags, Climatisation, Jantes aluminium, Limiteur de vitesse, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
385000,ford mustang,2020,Automatique,Essence,115000.0,Ford,Mustang,3,Dédouanée,Oui,13 CV,Très bon,Aucun
153000,Renault Express Diesel Manuelle 2022,2022,Manuelle,Diesel,67500.0,Renault,Express,5,WW au Maroc,Non,6 CV,Excellent,Aucun
163000,Ford ranger pickup 2017 diesel,2017,Manuelle,Diesel,155000.0,Ford,Ranger,5,WW au Maroc,Non,9 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Radar de recul, Verrouillage centralisé à distance"
270000,Hyundai Tucson Diesel Automatique 2021,2021,Automatique,Diesel,72500.0,Hyundai,Tucson,5,WW au Maroc,Non,6 CV,Bon,Aucun
140000,berlingo diesel,2020,Manuelle,Diesel,105000.0,Citroen,Berlingo,5,WW au Maroc,Oui,6 CV,Excellent,"Airbags, CD/MP3/Bluetooth, Climatisation"
106000,Peugeot 301 diesel,2019,Manuelle,Diesel,165000.0,Peugeot,301,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Verrouillage centralisé à distance, Vitres électriques"
290000,Peugeot 3008 Diesel Automatique 2022 à Marrakech,2022,Automatique,Diesel,47500.0,Peugeot,3008,5,WW au Maroc,Oui,8 CV,Excellent,"Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Vitres électriques"
65000,"mercedes 190 2,5",1993,Manuelle,Diesel,225000.0,Mercedes-Benz,190,5,Dédouanée,Non,9 CV,Excellent,"ABS, Jantes aluminium"
178000,Audi Q5 Modèle 2014,2014,Manuelle,Diesel,225000.0,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,Aucun
370000,audi a6,2020,Automatique,Diesel,77500.0,Audi,A6,5,WW au Maroc,Non,8 CV,Très bon,Aucun
205000,Toyota Corolla Prestige Hybride,2021,Automatique,Hybride,62500.0,Toyota,Corolla,5,WW au Maroc,Oui,10 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
99000,Renault Clio Diesel Manuelle 2018 à Agadir,2018,Manuelle,Diesel,135000.0,Renault,Clio,5,WW au Maroc,Non,7 CV,Très bon,"ABS, Airbags, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
479000,Land Rover Range Rover Velar Diesel Automatique,2018,Automatique,Diesel,87500.0,Land Rover,Range Rover Velar,5,WW au Maroc,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
42000,clio 3,2003,Manuelle,Essence,275000.0,Renault,Clio,5,WW au Maroc,Non,7 CV,Très bon,Climatisation
118000,kia Picanto 2021,2021,Manuelle,Essence,92500.0,Kia,Picanto,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
175000,Passat automatique,2017,Automatique,Diesel,155000.0,Volkswagen,Passat CC,5,WW au Maroc,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
158000,volkswagen caddy,2021,Manuelle,Diesel,135000.0,Volkswagen,Caddy,5,WW au Maroc,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
162000,Seat Leon Black Line,2018,Manuelle,Diesel,155000.0,Seat,Leon,5,WW au Maroc,Non,6 CV,Excellent,Aucun
193000,Dacia Duster Diesel Automatique 2021 à Casablanca,2021,Automatique,Diesel,105000.0,Dacia,Duster,5,WW au Maroc,Non,6 CV,Très bon,Aucun
195000,hyundai tucson tres bon état,2018,Manuelle,Diesel,115000.0,Hyundai,Tucson,5,WW au Maroc,Non,7 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
30000,Renault19 europa,2000,Manuelle,Essence,7500.0,Renault,19,5,WW au Maroc,Non,7 CV,Bon,Aucun
57000,honda jazz n9iya jdida marhba bikom,2007,Manuelle,Essence,225000.0,Honda,Jazz,5,Dédouanée,Non,8 CV,Excellent,Aucun
151500,Dacia Dokker 2019 Stepway Diesel,2019,Manuelle,Diesel,57500.0,Dacia,Dokker,5,WW au Maroc,Oui,6 CV,Excellent,"Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
195000,Audi Q3 modèle 2015,2015,Manuelle,Diesel,165000.0,Audi,Q3,5,WW au Maroc,Non,6 CV,Excellent,"ABS, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
42000,سوزوكي مضيل 1991 دوانة 2003,1991,Manuelle,Essence,125000.0,Suzuki,Carry,5,WW au Maroc,Non,6 CV,Excellent,Aucun
