Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
179 000 DH,Talisman Diesel Automatique 2017 à Oujda,2017,Automatique,Diesel,185000.0,Renault,Talisman,5.0,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
145 000 DH,seat leon black ligne,2014,Manuelle,Diesel,275000.0,Seat,Leon,5.0,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
71 000 DH,Golf 4 Diesel Manuelle 99 dédouane 2009 à Tanger,1999,Manuelle,Diesel,225000.0,Volkswagen,Golf 4,3.0,Dédouanée,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Radar de recul, Sièges cuir, Vitres électriques"
49 000 DH,alfa romeo diesel 1.9 jtdm,2009,Manuelle,Diesel,225000.0,Alfa Romeo,159,5.0,WW au Maroc,Non,8 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Radar de recul, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
173 000 DH,volkswagen tiguan 2011 2016,2011,Manuelle,Diesel,275000.0,Volkswagen,Tiguan,5.0,Dédouanée,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
180 000 DH,Mercedes-Benz 220 Diesel Automatique 2014 à Midelt,2014,Automatique,Diesel,275000.0,Mercedes-Benz,220,5.0,Dédouanée,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
36 000 DH,فياط باليو ديزل يدوي 2002 في ٱيت ملول,2002,Manuelle,Diesel,2500.0,Fiat,Palio,5.0,WW au Maroc,Non,7 CV,Très bon,Jantes aluminium
145 000 DH,Opel Corsa Diesel Manuelle 2021 à Tanger,2021,Manuelle,Diesel,47500.0,Opel,Corsa,5.0,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Vitres électriques"
124 000 DH,peugeot tepee 2018/08,2018,Manuelle,Diesel,165000.0,Peugeot,Tepee,5.0,WW au Maroc,Oui,6 CV,Bon,"ABS, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Verrouillage centralisé à distance, Vitres électriques"
240 000 DH,BMW X1 S Drive 20d à Rabat,2018,Automatique,Diesel,125000.0,BMW,X1,5.0,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
100 000 DH,Mercedes-Benz 207D Diesel Manuelle 1986,1986,Manuelle,Diesel,125000.0,Mercedes-Benz,207D,5.0,Dédouanée,Non,8 CV,Bon,Aucun
800 000 DH,Touareg toute option,2023,Automatique,Diesel,27500.0,Volkswagen,Touareg,5.0,WW au Maroc,Oui,12 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
135 000 DH,hyundai accent automatique toutoption,2021,Automatique,Diesel,135000.0,Hyundai,Accent,5.0,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
35 000 DH,peugeut 206,2001,Manuelle,Diesel,145000.0,Peugeot,206,5.0,WW au Maroc,Non,6 CV,Correct,"Jantes aluminium, Verrouillage centralisé à distance, Vitres électriques"
78 000 DH,Dacia Logan Diesel Manuelle 2013 à Safi,2013,Manuelle,Diesel,175000.0,Dacia,Logan,5.0,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Verrouillage centralisé à distance, Vitres électriques"
94 000 DH,Passat b6 2009,2009,Manuelle,Diesel,225000.0,Volkswagen,Passat,5.0,WW au Maroc,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Sièges cuir, Verrouillage centralisé à distance"
395 000 DH,Mercedes-Benz Classe E Diesel Automatique 2020,2020,Automatique,Diesel,275000.0,Mercedes-Benz,Classe E,5.0,WW au Maroc,Non,8 CV,Bon,"Airbags, Jantes aluminium, Sièges cuir, Système de navigation/GPS"
470 000 DH,BMW X4 pack M,2019,Automatique,Diesel,115000.0,BMW,X4,5.0,Importée neuve,Non,12 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
81 000 DH,Peugeot Partner Moteur 1.6HDi,2007,Manuelle,Diesel,155000.0,Peugeot,Partner,5.0,WW au Maroc,Non,7 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium"
225 000 DH,Skoda Superb business 2.0l,2018,Automatique,Diesel,145000.0,Skoda,Superb,5.0,WW au Maroc,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
440 000 DH,Mercedes-Benz Classe C Diesel Automatique 2020,2020,Automatique,Diesel,145000.0,Mercedes-Benz,Classe C,5.0,Dédouanée,Oui,9 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
243 000 DH,Peugeot 2008 Diesel Automatique 2021 à Marrakech,2021,Automatique,Diesel,37500.0,Peugeot,2008,5.0,WW au Maroc,Oui,6 CV,Excellent,Aucun
150 000 DH,Renault Kangoo Diesel Manuelle 2021 à Laâyoune,2021,Manuelle,Diesel,62500.0,Renault,Kangoo,5.0,WW au Maroc,Oui,6 CV,Excellent,Aucun
172 000 DH,Skoda Octavia full option,2016,Automatique,Diesel,185000.0,Skoda,Octavia,5.0,WW au Maroc,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
118 000 DH,Ford Fiesta Diesel TITANUIM 2017 à Casablanca,2017,Manuelle,Diesel,165000.0,Ford,Fiesta,5.0,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Vitres électriques"
60 000 DH,Peugeot 206 modèle 2004,2004,Manuelle,Diesel,225000.0,Peugeot,206,5.0,Dédouanée,Non,6 CV,Bon,"CD/MP3/Bluetooth, Vitres électriques"
150 000 DH,BELLE ALFA ROMÉO 159 DIESEL FAIBLE KILOMÉTRAGE,2009,Manuelle,Diesel,82500.0,Alfa Romeo,159,5.0,WW au Maroc,Non,10 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
72 000 DH,Peugeot  206  plus modèle 2013 jamais accident,2013,Manuelle,Diesel,225000.0,Peugeot,206,5.0,WW au Maroc,Non,6 CV,Excellent,Aucun
167 000 DH,opel astra,2020,Manuelle,Diesel,2500.0,Opel,Astra,5.0,Dédouanée,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
158 000 DH,Fiat 500 Dolcevita 18 000 km,2023,Automatique,Essence,17500.0,Fiat,500,3.0,WW au Maroc,Oui,7 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
120 000 DH,Hyundai H-1 2012,2023,Manuelle,Diesel,275000.0,Hyundai,H-1,5.0,WW au Maroc,Oui,10 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
280 000 DH,suzuki wagon R,1998,Manuelle,Essence,27500.0,Suzuki,Wagon R,5.0,Dédouanée,Non,6 CV,Très bon,"ABS, CD/MP3/Bluetooth, ESP, Toit ouvrant"
135 000 DH,golf 6 GTD full options paque style dedouanne,2012,Automatique,Diesel,22500.0,Volkswagen,Golf 6,5.0,Dédouanée,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
30 000 DH,Renault 4 gtl 92,1992,Manuelle,Essence,275000.0,Renault,R4,5.0,WW au Maroc,Non,6 CV,Très bon,"CD/MP3/Bluetooth, Sièges cuir"
225 000 DH,Hyundai Tucson Diesel Automatique 2018 à Rabat,2018,Automatique,Diesel,275000.0,Hyundai,Tucson,5.0,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
90 000 DH,alfa romeo,2015,Manuelle,Diesel,125000.0,Alfa Romeo,Giulietta,5.0,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
190 000 DH,duster,2022,Automatique,Diesel,7500.0,Dacia,Duster,5.0,WW au Maroc,Non,5 CV,Bon,Jantes aluminium
85 000 DH,BMW Série 1 Essence Automatique 2009 à Fès,2009,Automatique,Essence,155000.0,BMW,Série 1,5.0,WW au Maroc,Oui,11 CV,Très bon,"Airbags, CD/MP3/Bluetooth, Verrouillage centralisé à distance, Vitres électriques"
280 000 DH,Peugeot 3008 Diesel Manuelle 2022 à Kénitra,2022,Manuelle,Diesel,42500.0,Peugeot,3008,5.0,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
149 500 DH,Dacia Dokker Stepway Diesel Clim 2019,2019,Manuelle,Diesel,155000.0,Dacia,Dokker,5.0,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
126 000 DH,Fait 500 dolcevita,2018,Automatique,Essence,87500.0,Fiat,500,5.0,WW au Maroc,Oui,5 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
420 000 DH,Lexus ES Hybride Automatique 2023 à Fès,2023,Automatique,Hybride,37500.0,Lexus,ES,5.0,WW au Maroc,Oui,14 CV,Excellent,Aucun
180 000 DH,VW passat auto,2016,Automatique,Diesel,185000.0,Volkswagen,Passat,5.0,WW au Maroc,Non,8 CV,Très bon,"ABS, Airbags, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
260 000 DH,Vw Tiguan  rline klm168k 2016 ded 2019 (184ch),2016,Automatique,Diesel,165000.0,Volkswagen,Tiguan,5.0,Dédouanée,Non,8 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
145 000 DH,Volkswagen Polo Essence Manuelle 2019 à Tétouan,2019,Manuelle,Essence,125000.0,Volkswagen,Polo,5.0,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
114 000 DH,kangoo,2016,Manuelle,Diesel,145000.0,Renault,Kangoo,5.0,WW au Maroc,Non,6 CV,Très bon,CD/MP3/Bluetooth
228 000 DH,Volkswagen Tiguan 2018 automatique,2018,Manuelle,Diesel,175000.0,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
157 000 DH,Dacia lodgy stepway,2023,Manuelle,Diesel,62500.0,Dacia,Lodgy,5.0,WW au Maroc,Non,6 CV,Excellent,"Jantes aluminium, Système de navigation/GPS"
105 000 DH,Fiat 500 Diesel 2017 à Dar Bouazza,2017,Manuelle,Diesel,97500.0,Fiat,500,3.0,WW au Maroc,Non,5 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
172 000 DH,alfa romeo giulietta 2020,2020,Automatique,Diesel,135000.0,Peugeot,308,5.0,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
70 000 DH,Peugeot 407,2008,Manuelle,Diesel,82500.0,Peugeot,407,5.0,WW au Maroc,Oui,8 CV,Excellent,"Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
174 000 DH,RENAULT KADJAR DIESEL MANUELLE,2020,Manuelle,Diesel,125000.0,Renault,Kadjar,5.0,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
145 000 DH,Mercedes-Benz 220 Diesel Automatique 2011 à Rabat,2011,Automatique,Diesel,165000.0,Mercedes-Benz,220,5.0,WW au Maroc,Non,9 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
70 000 DH,Ssangyong Kyron Diesel Manuelle 2009 à Casablanca,2009,Manuelle,Diesel,115000.0,Ssangyong,Kyron,5.0,WW au Maroc,Non,8 CV,Très bon,Aucun
103 000 DH,opel astra,2012,Manuelle,Diesel,195000.0,Opel,Astra,5.0,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
130 000 DH,Kia Rio nouveau modéle 2021,2021,Manuelle,Essence,52500.0,Kia,Rio,5.0,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
127 000 DH,Renault Clio 4 intense,2015,Automatique,Diesel,105000.0,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
108 000 DH,Renault Megane Diesel  1.5 DCI   / 2010 /2017,2010,Manuelle,Diesel,195000.0,Renault,Megane,5.0,Dédouanée,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
68 000 DH,Opel corsa essence modèle 2012,2012,Manuelle,Essence,135000.0,Opel,Corsa,5.0,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Radar de recul, Verrouillage centralisé à distance, Vitres électriques"
38 000 DH,Chevrolet essence vente ou reprise,2007,Manuelle,Essence,105000.0,Chevrolet,Optra,5.0,WW au Maroc,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Verrouillage centralisé à distance, Vitres électriques"
99 000 DH,Fiat Fiorino Diesel Manuelle 2018 à Agadir,2018,Manuelle,Diesel,7500.0,Fiat,Fiorino,5.0,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Radar de recul, Régulateur de vitesse"
195 000 DH,Seat Arona Diesel Manuelle 2022 à Casablanca,2022,Manuelle,Diesel,7500.0,Seat,Arona,5.0,WW au Maroc,Oui,6 CV,Excellent,"Airbags, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
370 000 DH,Audi SQ5 2.0 TDI QUATTRO S-LINE,2017,Automatique,Diesel,225000.0,Audi,Q5,5.0,Dédouanée,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
180 000 DH,Tiguan peu de km,2012,Manuelle,Diesel,125000.0,Volkswagen,Tiguan,5.0,Dédouanée,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
110 000 DH,Citroen C-Elysée Diesel Manuelle 2018 à Rabat,2018,Manuelle,Diesel,115000.0,Citroen,C-Elysée,5.0,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
249 000 DH,Volkswagen Passat Diesel Automatique 2020 à Rabat,2020,Automatique,Diesel,87500.0,Volkswagen,Passat,5.0,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Radar de recul, Verrouillage centralisé à distance, Vitres électriques"
167 000 DH,Volkswagen Golf 7 Diesel Automatique 2017 à Fès,2017,Automatique,Diesel,185000.0,Volkswagen,Golf 7,5.0,WW au Maroc,Non,4 CV,Très bon,Aucun
195 000 DH,renault captur diesel,2022,Manuelle,Diesel,82500.0,Renault,Captur,5.0,WW au Maroc,Oui,7 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
215 000 DH,Peugeot 3008 Diesel Automatique 2018 à Rabat,2018,Automatique,Diesel,105000.0,Peugeot,3008,5.0,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
230 000 DH,Range EVOQUE A Vendre Sur Sidi Kacem,2017,Automatique,Diesel,135000.0,Land Rover,Range Rover Evoque,5.0,Importée neuve,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
97 000 DH,Fiat Doblo Diesel Manuelle 2018 à Casablanca,2018,Manuelle,Diesel,165000.0,Fiat,Doblo,5.0,WW au Maroc,Non,5 CV,Très bon,Aucun
128 000 DH,kongo  bagra,2017,Manuelle,Diesel,7500.0,Renault,Kangoo,5.0,WW au Maroc,Non,6 CV,Excellent,"Airbags, CD/MP3/Bluetooth, Climatisation, Limiteur de vitesse, Ordinateur de bord, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
