Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
,volkswagen passat,2021,Automatique,Diesel,95 000 - 99 999,Volkswagen,Passat,5,WW au Maroc,,8 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
125 000 DH,Kia Picanto Essence Manuelle 2022 à Marrakech,2022,Manuelle,Essence,60 000 - 64 999,Kia,Picanto,,WW au Maroc,,6 CV,Très bon,Aucun
210 000 DH,Tiguan 2018 automatique en très bon état,2018,Automatique,Diesel,190 000 - 199 999,Volkswagen,Tiguan,,WW au Maroc,,8 CV,Excellent,Aucun
225 000 DH,Peugeot 508 Diesel Automatique 2019 à Casablanca,2019,Automatique,Diesel,95 000 - 99 999,Peugeot,508,5,WW au Maroc,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
,Mercedes-Benz Classe G 63 Essence Automatique 2023,2023,Automatique,Essence,20 000 - 24 999,Mercedes-Benz,Classe G,5,Importée neuve,,23 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
107 000 DH,renault clio 4,2018,Manuelle,Diesel,160 000 - 169 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
130 000 DH,Dacia dokker,2018,Manuelle,Diesel,180 000 - 189 999,Dacia,Dokker,,WW au Maroc,Oui,6 CV,Excellent,"CD/MP3/Bluetooth, Climatisation, Radar de recul, Verrouillage centralisé à distance, Vitres électriques"
46 000 DH,Peugeot 206,1999,Manuelle,Essence,110 000 - 119 999,Peugeot,206,5,Dédouanée,,8 CV,Très bon,"CD/MP3/Bluetooth, Climatisation, Verrouillage centralisé à distance, Vitres électriques"
,Volkswagen T-Roc,2022,Automatique,Diesel,80 000 - 84 999,Volkswagen,T-Roc,5,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
190 000 DH,Jepp grand cherokee overland full option,2018,Automatique,Diesel,190 000 - 199 999,Jeep,Grand Cherokee,5,WW au Maroc,Oui,12 CV,Excellent,Aucun
